Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"87,6","87,6","87,6","87,6","87,6",,,"87,6","87,6",0
УЗЕ Бар БЕСС,1.2,✓ OK,"86,9","86,9","87,4","87,6",88,,,88,"86,9","1,1"
УЗЕ Бар БЕСС,2.1,✓ OK,"87,6","87,6","87,6","87,7","87,4",,,"87,7","87,4","0,3"
УЗЕ Бар БЕСС,2.2,✓ OK,88,"88,1","88,1","87,6","88,2",,,"88,2","87,6","0,6"
УЗЕ Бар БЕСС,3.1,✓ OK,"87,7","87,9","87,4","87,6","87,1",,,"87,9","87,1","0,8"
УЗЕ Бар БЕСС,3.2,✓ OK,"87,2","87,6","87,3","87,6","87,5",,,"87,6","87,2","0,4"
УЗЕ Бар БЕСС,4.1,✓ OK,"87,7","87,7","87,4","87,5","87,5",,,"87,7","87,4","0,3"
УЗЕ Бар БЕСС,4.2,✓ OK,"87,1","87,1",87,"87,7","87,5",,,"87,7",87,"0,7"
УЗЕ Бар БЕСС,5.1,✓ OK,"87,7","87,8","87,4","87,8","87,3",,,"87,8","87,3","0,5"
УЗЕ Бар БЕСС,5.2,✓ OK,"87,7","87,9","88,4","88,8","88,2",,,"88,8","87,7","1,1"
УЗЕ Бар БЕСС,6.1,✓ OK,"88,3","87,2","87,7","87,3","87,5",,,"88,3","87,2","1,1"
УЗЕ Бар БЕСС,6.2,✓ OK,"86,5",87,"86,6","87,3",88,,,88,"86,5","1,5"
УЗЕ Бар БЕСС,7.1,✓ OK,"87,5","87,7","87,6","87,7","87,8",,,"87,8","87,5","0,3"
УЗЕ Бар БЕСС,7.2,✓ OK,"87,6","87,8","87,8","87,5","87,2",,,"87,8","87,2","0,6"
УЗЕ Бар БЕСС,8.1,✓ OK,"86,4","86,8","86,6","86,6","86,2",,,"86,8","86,2","0,6"
УЗЕ Бар БЕСС,8.2,✓ OK,"85,9","85,9","85,8","86,5","85,2",,,"86,5","85,2","1,3"
УЗЕ Бар БЕСС,9.1,✓ OK,"86,7","86,7","86,9","86,9","86,5",,,"86,9","86,5","0,4"
УЗЕ Бар БЕСС,9.2,✓ OK,"87,9","88,3","88,3","88,4","88,1",,,"88,4","87,9","0,5"
УЗЕ Бар БЕСС,10.1,✓ OK,32,31,31,,,,,32,31,1
УЗЕ Бар БЕСС,10.2,✓ OK,33,31,33,,,,,33,31,2
УЗЕ Бар БЕСС,11.1,✓ OK,20,20,20,,,,,20,20,0
УЗЕ Бар БЕСС,11.2,✓ OK,20,19,20,,,,,20,19,1
УЗЕ Бар БЕСС,12.1,✓ OK,20,20,20,,,,,20,20,0
УЗЕ Бар БЕСС,12.2,✓ OK,20,20,19,,,,,20,19,1
УЗЕ Бар БЕСС,13.1,✓ OK,20,20,19,,,,,20,19,1
УЗЕ Бар БЕСС,13.2,✓ OK,19,20,19,,,,,20,19,1
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"86,6","86,6","86,6","86,6","86,6",,,"86,6","86,6",0
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"86,3","86,3","85,9","86,3","85,9",,,"86,3","85,9","0,4"
